thumb,,
2,"4162,2591,352,436""",
11,"4160,1722,352,452""",
15,"4168,3538,344,440""",
26,"4216,2162,352,444""",
33B,"4216,3962,340,452""",
35,"4212,4418,348,456""",
61B,"4168,3974,356,432""",
79,"4164,4870,344,440""",
82,"4152,2170,336,436""",
91,"4132,1722,344,464""",
95,"4116,3978,344,444""",
98,"4108,4878,348,456""",
99,"4104,5330,348,448""",
105,"4112,3988,336,424""",
107,"4100,4878,352,456""",
108,"4100,5334,344,448""",
115,"4132,3058,348,452""",
117,"4132,3962,344,436""",
118B,"4128,4866,340,448""",
119,"4124,5326,348,420""",
123,"4156,2630,348,440""",
124,"4160,3070,348,464""",
172bis,"4112,2180,360,424""",
180B,"4120,4892,344,408""",
188B,"4088,4406,348,452""",
191,"4088,1252,344,456""",
192B,"4076,1718,348,464""",
192C,"4084,2190,344,428""",
196,"4076,3986,336,432""",
196B,"4068,4430,344,444""",
197,"4068,4894,352,428""",
198,"4068,5338,348,424""",
200,"4122,1251,352,444""",
200B,"4118,1699,352,462""",
205,"4124,3510,340,448""",
211,"4112,1230,352,444""",
216B,"4112,3950,344,424""",
221,"4108,2118,344,432""",
222,"4100,2566,348,436""",
224,"4104,3478,348,428""",
237,"4096,4834,340,444""",
238,"4096,5290,340,428""",
242,"4092,2586,348,432""",
258,"4100,1722,344,448""",
263,"4100,2622,336,436""",
280,"4076,4410,340,456""",56
282,"4072,5322,344,424""",55
283,"4120,1226,344,436""",54
289,"4128,3490,344,440""",53
303,"4120,4886,348,428""",52
307,"4144,1702,352,456""",51
309,"4148,2618,348,420""",50
314,"4152,4862,352,444""",49
317,"4122,1265,350,438""",48
318B,"4118,2179,356,438""",47
319,"4120,2609,350,454""",46
322,"4124,3965,346,424""",45
324,"4124,4867,350,442""",44
326,"4124,5315,348,426""",43
331,"4128,3502,344,424""",42
334bis,"4136,4390,348,440""",41
340,"4120,2170,344,432""",40
342,"4116,3058,352,448""",39
356,"4120,1254,340,444""",38
363B,"4132,4418,352,436""",37
366,"4128,5318,352,420""",36
371,"4088,3074,344,452""",35
380,"4112,1698,352,448""",34
381,"4112,2162,356,424""",33
383,"4120,3510,348,440""",32
388,"4124,4406,344,444""",31
389,"4120,4874,344,420""",30
391,"4144,1238,340,460""",29
397,"4140,3950,348,444""",28
401,"4140,5738,340,420""",27
408,"4164,3950,344,428""",26
419,"4144,3942,344,436""",25
432,"4156,3522,348,444""",24
438,"4152,2164,352,440""",23
449,"4132,1718,352,440""",22
459,"4102,1763,348,460""",21
484,"4114,3977,350,436""",20
497,"4152,5292,328,416""",19
510,"4124,1274,344,444""",18
511,"4120,1722,352,444""",17
517,"4108,3974,348,448""",16
525,"4108,3554,352,432""",15
534,"4104,2638,344,436""",14
538,"4096,4438,352,440""",13
540,"4100,5334,348,436""",12
547,"4060,3982,344,432""",11
548,"4060,4422,340,444""",10
558,"4088,3058,352,452""",9
559,"4076,3522,364,436""",8
560,"4096,3974,336,424""",7
561,"4088,4418,348,440""",6
562,"4088,4874,352,436""",5
563,"4088,5322,348,424""",4
565,"4108,1686,356,448""",3
574,"4108,5302,356,432""",2
575,"4120,1210,344,436""",1